trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",25,0,-145.32698031364558,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",30,0,-149.23541527126878,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,0,-155.4434420068826,"{0: 9, 1: 6, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",30,0,-143.5171133035322,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",30,0,-66.40782430312765,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,0,-107.99748142593246,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",25,0,-196.19412438101173,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",30,0,-35.297981094420024,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,0,-101.97680693967992,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,11,-34.53422286709254,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",35,0,-165.10701373791545,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,0,-45.96932848030657,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-152.76426961136082,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",30,16,-52.76593843827448,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,0,-78.19111955064093,"{0: 21, 1: 0, 2: 0, 3: 3, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,0,10.721612190057163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,0,-11.897515851413745,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",30,0,-88.56705334392095,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,0,-32.22985522509404,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,0,-20.111637518132877,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-165.33697165540005,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",25,0,10.526695507355669,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,10,-18.91731199273613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,10.39439081637481,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,6.623051792764733,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-2.481808265712246,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-98.58996002652135,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-8.627681785018435,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-8.335547325108173,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-86.75363825914451,"{0: 26, 1: 0, 2: 0, 3: 2, 4: 2}",0
