trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-74.6982290004455,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-94.24691148993247,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-184.70689651710757,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,15,-119.0327159510016,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-150.9210720435471,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-42.559602240284654,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-95.47072214796991,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-220.80435846434315,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-175.74569327814848,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-36.9116940021406,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,0,-149.822565664364,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,0,-61.072163047813696,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-70.3025161781651,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,6,-64.30915662061292,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-142.20017420594004,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-115.4169001560603,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-65.0608481982611,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-119.4119580641679,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,0,-110.55945492116845,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,4,-68.01432679661393,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 0}",1
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,0,-95.39021148779656,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-61.253809433161535,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,14,-91.77347779805504,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-143.1004305097578,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,6,-14.461456040507672,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,0,-122.88581003312115,"{0: 22, 1: 0, 2: 4, 3: 3, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",35,0,-143.29953837037965,"{0: 21, 1: 5, 2: 5, 3: 3, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",20,0,-69.01524503333353,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",25,0,-150.8326439864208,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",25,6,-36.27867393508543,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",25,0,-32.12482736491766,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-82.78258459813681,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",30,0,-54.43339805377559,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-67.69364778088831,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,1,-33.16854739171805,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,0,-84.07112612693533,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,7,-44.34973537446103,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",30,0,-43.474160469026245,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,16,-47.4939825450375,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",30,18,-6.00731977979105,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,0,-27.2448138662747,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,-43.83814668652501,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",20,0,-29.638372308479088,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-94.3059399585147,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,0,-49.02305025081012,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,25.110886954762496,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-88.96400519960306,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-114.97411409507532,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",30,0,-146.3145251801234,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-57.581226474332844,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",20,13,4.3001018705376755,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-153.13958370606088,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,0,-16.444604585472867,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,14,-41.49171233037067,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-51.81713941262192,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,0,-126.28100732216863,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-149.66355769708997,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,7,-53.19991068069865,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,0,-116.88559973984621,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-22.61448878057617,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",25,0,-5.843335669727027,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-46.62418692009854,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,-73.11466612346692,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,0,-56.84697977758702,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
