trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-151.1953832857359,"{0: 69, 1: 56, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-88.68803342870739,"{0: 78, 1: 47, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-100,-119.97339749470422,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-118.22368595103543,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,-100,-104.39922971872674,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-100,-133.46667160414668,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-88.5277883266005,"{0: 78, 1: 42, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-116.45051953740597,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-130.894240954437,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-92.91228028861683,"{0: 79, 1: 46, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-94.79953556958098,"{0: 78, 1: 47, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,-100,-123.76232091586422,"{0: 76, 1: 54, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-100,-83.83584728299877,"{0: 80, 1: 45, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-94.18967280296793,"{0: 77, 1: 48, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-100,-83.60636782645811,"{0: 78, 1: 47, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,-100,-119.00537465865554,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-91.14172948366966,"{0: 75, 1: 45, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-69.73532845403678,"{0: 78, 1: 42, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-100,-118.10246895866817,"{0: 71, 1: 49, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-118.1525085184333,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-134.06735347716491,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-97.73699864734058,"{0: 76, 1: 49, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-91.7103703169833,"{0: 74, 1: 46, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-170.5574674068329,"{0: 63, 1: 57, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-100,-146.77110912946176,"{0: 65, 1: 55, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-91.37479244439936,"{0: 74, 1: 46, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-101.48281376490542,"{0: 75, 1: 45, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,-100,-123.30597392604095,"{0: 74, 1: 51, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-100,-96.81796315151904,"{0: 80, 1: 50, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-136.41648750050973,"{0: 70, 1: 55, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 1.0}",25,-100,-164.7414432566024,"{0: 67, 1: 58, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.5, 'e': 1.0}",20,-100,-113.63722936212058,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.5, 'e': 1.0}",25,-100,-130.25541380612373,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.5, 'e': 1.0}",20,-100,-108.91544548519899,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.5, 'e': 1.0}",30,-100,-94.53547048519921,"{0: 82, 1: 48, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.5, 'e': 1.0}",25,-100,-117.08864899298564,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.5, 'e': 1.0}",30,-100,-102.3622412440244,"{0: 80, 1: 50, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.5, 'e': 1.0}",20,-100,-118.67481106442351,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.5, 'e': 1.0}",25,-100,-144.39107296262057,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.5, 'e': 1.0}",20,-100,-133.3315323700633,"{0: 67, 1: 53, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.5, 'e': 1.0}",20,-100,-137.08827205851367,"{0: 67, 1: 53, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.5, 'e': 1.0}",20,-100,-81.63417614511405,"{0: 78, 1: 42, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.5, 'e': 1.0}",25,-100,-114.13470763801762,"{0: 75, 1: 50, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.5, 'e': 1.0}",20,-100,-86.40149291555616,"{0: 75, 1: 45, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.5, 'e': 1.0}",25,-100,-125.65854563054842,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.5, 'e': 1.0}",20,-100,-120.30568067841973,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.5, 'e': 1.0}",30,-100,-138.10282091509666,"{0: 76, 1: 54, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.5, 'e': 1.0}",20,-100,-109.22957730636872,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.5, 'e': 1.0}",30,-100,-105.05798878451895,"{0: 81, 1: 49, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.5, 'e': 1.0}",25,-100,-134.78405326272107,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
